Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000142,2011-05-13,2011-05-13,"9 Movies Seen 8.6 Average

Hereafter				        2010	7
Invictus				        2009	8
Gran Torino				        2008	9
Changeling				        2008	9
Letters from Iwo Jima			2006	8
Flags of our Fathers			2006	7
Million Dollar Baby		        2004	10
Mystic River				2003	9
Unforgiven				        1992	10
9 Movie Avg. 					8.6",Clint Eastwood,Million Dollar Baby,1930-05-31
2,nm0005222,2011-05-13,2011-05-13,"Away We Go				2009	9
Revolutionary Road			2008	9
Jarhead				        2005	8
Road to Perdition		         	2002	8
American Beauty			        1999	9
5 Movie Avg.					8.5",Sam Mendes,Skyfall,1965-08-01
3,nm0000217,2011-05-13,2011-05-13,"10 Movies Seen- 8.4 Average

Shutter Island				2010	6
The Departed		        	2006	10
The Aviator				        2004	9
Gangs of New York			2002	9
Bringing out the Dead			1999	7
Casino					1995	9
Cape Fear				        1991	9
Goodfellas		         		1990	9
Raging Bull		         		1980	7
Taxi Driver		         		1976	9
10 Movie Avg.				8.4",Martin Scorsese,Taxi Driver,1942-11-17
4,nm0000233,2011-05-13,2011-05-13,"Inglorious Basterds			2009	9
Death Proof				        2007	7
Kill Bill 2				        2004	9
Kill Bill			         	2003	9
Jackie Brown				1997	8
Pulp Fiction				        1994	9
Reservoir Dogs		           	1992	8
7 Movie Avg.					8.4",Quentin Tarantino,Reservoir Dogs,1963-03-27
5,nm0001814,2011-05-13,2011-05-13,"Milk					2008	9
Last Days 				2005	6
Elephant				2003	9
Finding Forrester			2000	8
Good Will Hunting			1997	10
5 Movie Avg.					8.4",Gus Van Sant,Elephant,1952-07-24
6,nm0000033,2011-05-13,2011-05-13,"Psycho					1960	9
Rear Window				1954	9
Dial M for Murder			1954	7
Rebecca				1940	8
4 Movie Avg.					8.3",Alfred Hitchcock,Psycho,1899-08-13
7,nm0000229,2011-05-13,2011-05-13,"Munich				2005	9
War of the Worlds			2005	7
The Terminal				2004	7
Catch Me if You Can			2002	8
Minority Report			2002	8
Saving Private Ryan			1998	10
Jurassic Park 2				1997	5
Schindler?s List 			1993	10
Jurassic Park				1993	9
Jaws					1975	9
10 Movie Avg. 				8.2",Steven Spielberg,Schindler's List,1946-12-18
8,nm0000095,2011-05-13,2011-05-13,"You Will Meet a Tall Dark Stranger	2010	8	
Whatever Works			2009	8
Vicky Cristina Barcelona		2008	9
Cassandra?s Dream			2007	7
Scoop					2006	7
Match Point			2005	10
Crimes and Misdemeanors		1989	9
Manhattan				1979	7
Annie Hall				1977	9
Sleeper					1973	8
10 Movie Avg.				8.2",Woody Allen,Manhattan,1935-12-01
9,nm0000040,2011-05-17,2011-05-17,"Eyes Wide Shut			1999	6
Full Metal Jacket			1987	9
The Shining				1980	8
A Clockwork Orange			1971	8
Dr. Strangelove			1964	9
Paths of Glory				1957	9
6 Movie Avg.					8.2",Stanley Kubrick,2001: A Space Odyssey,1928-07-26
10,nm0000116,2011-05-17,2011-05-17,"Avatar					2009	9
True Lies				1994	7
Terminator 2				1991	9
The Abyss				1989	8
The Terminator			1984	8
5 Movie Avg.					8.2",James Cameron,Avatar,1954-08-16
11,nm0000399,2011-05-17,2011-05-17,"The Social Network			2010	8
Benjamin Button			2008	9
Zodiac					2007	9	
Panic Room				2002	6
Fight Club				1999	9
The Game				1997	6
Se7ven				1995	10
7 Movie Avg. 					8.1",David Fincher,Se7en,1962-08-28
12,nm0001566,2011-05-17,2011-05-17,"Charlie Wilson?s War		2007	9
Closer					2004	8
Silkwood				1983	7
Carnal Knowledge			1971	7
The Graduate				1967	8
Who?s Afraid of Virginia Woolf?	1966	9
6 Movie Avg.					8.0",Mike Nichols,The Graduate,1931-11-06
13,nm0000709,2011-05-17,2011-05-17,"Beowulf				2007	6
Cast Away				2000	9
What Lies Beneath			2000	8
Forrest Gump				1994	9
Who Framed Roger Rabbit		1988	8
Back to the Future			1985	8
6 Movie Avg.					8.0",Robert Zemeckis,Back to the Future,1951-05-14
14,nm0000338,2011-05-18,2011-05-18,"The Godfather 3			1990	7
The Outsiders				1983	6
The Godfather 2			1974	9
The Godfather			1972	10
4 Movie Avg.					8.0",Francis Ford Coppola,Apocalypse Now,1939-04-07
15,nm0006487,2011-05-18,2011-05-18,"Brothers				2009	8
In America				2002	7
In the Name of the Father		1993	8
My Left Foot 				1989	9
4 Movie Avg.					8.0",Jim Sheridan,In America,1949-02-06
16,nm0400441,2011-05-18,2011-05-18,"(Along With Brother Albert)
The Book of Eli			2010	7
From Hell				2001	8
Dead Presidents			1995	8
Menace II Society			1993	9
4 Movie Avg.					8.0",Allen Hughes,The Book of Eli,1972-04-01
17,nm0634240,2011-05-17,2011-05-17,"Inception				2010	8
The Dark Knight			2008	9
The Prestige				2006	7
Batman Begins			2005	8
Insomnia				2002	6
Memento				2000	9
6 Movie Avg.					7.8",Christopher Nolan,Dunkirk,1970-07-30
18,nm0001880,2011-05-17,2011-05-17,"Love & Other Drugs			2010	7
Defiance				2008	7
Blood Diamond			2006	9
The Last Samurai			2003	8
Legends of the Fall			1994	7
Glory					1989	9
6 Movie Avg.					7.8",Edward Zwick,Thirtysomething,1952-10-08
