,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,multimedia.height,multimedia.src,multimedia.type,multimedia.width,opening_date,publication_date,summary_short
0,KEN JAWOROWSKI,0,2017-11-02 04:18:24,Wrestling Jerusalem,"Review: In ‘Wrestling Jerusalem,’ One Man Gives Voice to Many",Read the New York Times Review of Wrestling Jerusalem,article,http://www.nytimes.com/2017/09/12/movies/wrestling-jerusalem-review.html,,,140.0,https://static01.nyt.com/images/2017/09/13/arts/13wrestling/13wrestling-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-04-01,2017-09-12,"In a movie adapted from his play, the writer and actor Aaron Davidman portrays more than a dozen people affected by the Mideast conflict."
1,BEN KENIGSBERG,0,2017-11-02 04:18:23,Boone,Review: Lovingly Tending the Livestock in ‘Boone’,Read the New York Times Review of Boone,article,http://www.nytimes.com/2017/04/27/movies/boone-review.html,,,140.0,https://static01.nyt.com/images/2017/04/28/arts/28BOONE/28BOONE-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-03-01,2017-04-27,"A documentary observes life — births, milking and vegetable picking — on a goat farm in Oregon."
2,KEN JAWOROWSKI,0,2017-11-02 04:18:24,Maurizio Cattelan: Be Right Back,Review: ‘Maurizio Cattelan: Be Right Back’ Relishes a Mischievous Artist,Read the New York Times Review of Maurizio Cattelan: Be Right Back,article,http://www.nytimes.com/2017/04/13/movies/maurizio-cattelan-be-right-back-review.html,,,140.0,https://static01.nyt.com/images/2017/04/14/arts/14maurizio/14maurizio-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-04-01,2017-04-13,The documentary explores the artworks and pranks of an Italian trickster.
3,NEIL GENZLINGER,0,2017-11-02 04:18:23,In Search of Israeli Cuisine,Review: ‘In Search of Israeli Cuisine’ Isn’t Just About Food,Read the New York Times Review of In Search of Israeli Cuisine,article,http://www.nytimes.com/2017/03/23/movies/in-search-of-israeli-cuisine-review.html,,,140.0,https://static01.nyt.com/images/2017/03/24/arts/24INSEARCH/24INSEARCH-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-01-28,2017-03-23,A documentary raises provocative questions as it follows Michael Solomonov on a tour of Israel’s foodie scene.
4,GLENN KENNY,1,2017-11-02 04:18:11,Leonard Cohen: Bird on a Wire,"Review: ‘Leonard Cohen: Bird on a Wire,’ Portrait of an Artist in Chaos",Read the New York Times Review of Leonard Cohen: Bird on a Wire,article,http://www.nytimes.com/2017/01/17/movies/leonard-cohen-bird-on-a-wire-review.html,,,140.0,https://static01.nyt.com/images/2017/01/18/arts/18LEONARD/18LEONARD-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2010-08-01,2017-01-17,"Tony Palmer’s documentary follows this singer-songwriter in an early phase of his career, during a somewhat disordered 1972 European tour."
5,GLENN KENNY,1,2017-11-02 04:18:26,"Accidental Courtesy: Daryl Davis, Race & America",Review: ‘Accidental Courtesy’ Is Gentle Persuasion for Bigots,"Read the New York Times Review of Accidental Courtesy: Daryl Davis, Race & America",article,http://www.nytimes.com/2017/01/05/movies/accidental-courtesy-daryl-davis-race-america-review.html,,,140.0,https://static01.nyt.com/images/2017/01/06/arts/06ACCIDENTAL/06ACCIDENTAL-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-09,2017-01-05,A man who confronts racism with friendliness in his travels.
6,MANOHLA DARGIS,1,2017-11-02 04:18:26,Paterson,"Review: In Jim Jarmusch’s ‘Paterson,’ a Meditative Flow of Words Into Poetry",Read the New York Times Review of Paterson,article,http://www.nytimes.com/2016/12/27/movies/paterson-review.html,R,,140.0,https://static01.nyt.com/images/2016/12/28/arts/28PATERSON/28PATERSON-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-12-28,2016-12-27,"This story of a soulful bus driver and basement poet is deceptively simple and nearly perfect, with a likely nod to William Carlos Williams."
7,A.O. SCOTT,1,2017-11-02 04:18:26,Toni Erdmann,"Review: In ‘Toni Erdmann,’ Dad’s a Prankster Trying to Jolt His Conformist Daughter",Read the New York Times Review of Toni Erdmann,article,http://www.nytimes.com/2016/12/22/movies/toni-erdmann-review.html,R,,140.0,https://static01.nyt.com/images/2016/12/23/arts/23TONI/23TONI-mediumThreeByTwo210.jpg,mediumThreeByTwo210,210.0,2016-12-25,2016-12-22,"The funniest almost-three-hour German comedy you will ever see, Maren Ade’s film is a thrilling act of defiance against the toxicity of doing what is expected."
8,BEN KENIGSBERG,0,2017-11-02 04:18:26,Dangal,"Review: A Father’s Dreams, Recast by His Daughters in ‘Dangal’",Read the New York Times Review of Dangal,article,http://www.nytimes.com/2016/12/22/movies/dangal-review.html,Not Rated,,140.0,https://static01.nyt.com/images/2016/12/23/arts/23DANGAL/23DANGAL-mediumThreeByTwo210-v2.jpg,mediumThreeByTwo210,210.0,2016-12-21,2016-12-22,This Bollywood film about a father who trains his two daughters to be wrestlers sets emotions to full blast and wears it heart firmly on its sleeve.
9,JEANNETTE CATSOULIS,0,2017-11-02 04:18:26,Why Him?,"Review: ‘Why Him?’ Better Yet, Why This Movie?",Read the New York Times Review of Why Him?,article,http://www.nytimes.com/2016/12/22/movies/why-him-review-james-franco-bryan-cranston.html,R,,140.0,https://static01.nyt.com/images/2016/12/23/arts/23WHYHIM/23WHYHIM-mediumThreeByTwo210-v3.jpg,mediumThreeByTwo210,210.0,2016-12-23,2016-12-22,"Proving definitively that slapping James Franco’s scenery-eating grin on any old drivel doesn’t guarantee entertainment, this film is trite, crass and moronic."
