,byline,critics_pick,date_updated,display_title,headline,link.suggested_link_text,link.type,link.url,mpaa_rating,multimedia,opening_date,publication_date,summary_short
0,Lawrence Van Gelder,0,2017-11-02 04:17:57,Deuce Bigalow: Male Gigolo,Deuce Bigalow: Male Gigolo (Movie)  ,Read the New York Times Review of Deuce Bigalow: Male Gigolo,article,http://www.nytimes.com/movie/review?res=9801E2DD1731F933A25751C1A96F958260,R,,1999-12-10,1999-12-10,Fish-tank cleaner turns male escort. Juvenile.
1,Stephen Holden,0,2017-11-02 04:17:57,American Pie,American Pie (Movie)  ,Read the New York Times Review of American Pie,article,http://www.nytimes.com/movie/review?res=980CE2DF143CF93AA35754C0A96F958260,NC-17,,1999-07-09,1999-07-09,Teenagers vow to lose virginity by prom night. Studiously raunchy.
2,Stephen Holden,1,2017-11-02 04:17:57,"South Park: Bigger, Longer & Uncut",South Park (Movie)  ,"Read the New York Times Review of South Park: Bigger, Longer & Uncut",article,http://www.nytimes.com/movie/review?res=9D00EFD81E3AF933A05755C0A96F958260,R,,1999-06-30,1999-06-30,"The movie spinoff from the outrageous Comedy Central cartoon series following the adventures of some potty-mouthed third-grade boys in South Park, Colo., is extremely funny and jubilantly obscene, with several sewers' worth of bathroom humor. It is also a smart, pointed satire that demolishes the hypocrisy of a conservative culture that allows almost unlimited violence and gore in movies and on television but goes ballistic at the prospect of children's being exposed to dirty language and sexual explicitness. When a group of tykes sneak into a Canadian movie filled with obscenities and come home spewing smut, their parents raise such a ruckus that the United States declares war on Canada. Armageddon looms when the Devil, who has been having a troubled affair with the recently deceased Saddam Hussein, decides to put in an appearance. Contributing to the madness are 15 clever songs spoofing everything from Rodgers and Hammerstein to &quot;Les Miserables.&quot; — Stephen Holden"
3,Janet Maslin,0,2017-11-02 04:17:57,Big Daddy,Big Daddy (Movie)  ,Read the New York Times Review of Big Daddy,article,http://www.nytimes.com/movie/review?res=9405E2DE143AF936A15755C0A96F958260,PG-13,,1999-06-25,1999-06-25,Slacker tries fatherhood. Flimsy and sentimental.
4,STEPHEN HOLDEN,0,2017-11-02 04:17:56,The Last Big Thing,"Last Big Thing, The (Movie)  ",Read the New York Times Review of The Last Big Thing,article,http://www.nytimes.com/movie/review?res=9C05E7D71130F930A1575AC0A96E958260,R,,1998-09-23,1998-09-23,Victims plot against performance artist. Satire. And nasty fun.
5,Stephen Holden,1,2017-11-02 04:17:55,The Chambermaid on the Titanic,"Chambermaid on the Titanic, The (Movie)  ",Read the New York Times Review of The Chambermaid on the Titanic,article,http://www.nytimes.com/movie/review?res=9A04E7DE133AF937A2575BC0A96E958260,,,1998-08-14,1998-08-14,"French foundry worker eroticizes his one-night encounter with a passenger on the doomed ship. Half mocking commentary, half soft-core fluff."
6,LAWRENCE VAN GELDER,0,2017-11-02 04:17:55,The Big Hit,"Big Hit, the (Movie)  ",Read the New York Times Review of The Big Hit,article,http://www.nytimes.com/movie/review?res=9C0DEFDE103FF936A15757C0A96E958260,R,,1998-04-24,1998-04-25,"Neurotic kidnapper and partner. High concept, low reward."
7,Janet Maslin,1,2017-11-02 04:17:55,The Big One,"Big One, The (Movie)",Read the New York Times Review of The Big One,article,http://www.nytimes.com/movie/review?res=9B0CEED9143DF933A25757C0A96E958260,PG-13,,1998-04-10,1998-04-10,
8,Janet Maslin,1,2017-11-02 04:17:54,The Big Lebowski,"Big Lebowski, the (Movie)",Read the New York Times Review of The Big Lebowski,article,http://www.nytimes.com/movie/review?res=9B05E1D91131F935A35750C0A96E958260,R,,1998-03-06,1998-03-06,"In a film both sweeter and loopier than &quot;Fargo,&quot; Joel and Ethan Coen and their rogues' gallery of actors explore Southern California's post-hippie, surfer-dude bowling scene. The results are irresistible, at least for audiences on the film's laid-back wavelength and in tune with its deadpan humor. With shaggy, baggy looks that belie his performance's fine comic control, Jeff Bridges plays a guy who truly deserves to be called Dude, and is by turns oblivious and indignant once a ruined rug leads him into neo-noir escapades. In a film that certainly keeps its audience guessing what might happen next (Saddam Hussein renting bowling shoes?), John Turturro takes the cake as the most fiendish of bowlers. — Janet Maslin"
9,JANET MASLIN,0,2017-11-02 04:17:50,The Big Squeeze,"Big Squeeze, The (Movie)  ",Read the New York Times Review of The Big Squeeze,article,http://www.nytimes.com/movie/review?res=9C01EED61F38F935A3575AC0A960958260,R,,1996-09-06,1996-09-06,A con man helps a barmaid bilk her estranged husband out of disability money.
10,Janet Maslin,1,2017-11-02 04:17:50,Big Night,BIG NIGHT (MOVIE),Read the New York Times Review of Big Night,article,http://www.nytimes.com/movie/review?res=9501E6DA1539F93AA15750C0A960958260,R,,1996-09-20,1996-03-29,Restaurateur brothers stake all on one dinner. Succulent comedy.
